:240;60
0;0t;0;0.5;0;2;0
0;1t;0.5;0.5;0;2;0
0;2t;1.0;0.5;0;2;0
1.-1;0t;1.5;0.5;0;2;0
1.-1;1t;2.0;0.5;0;2;0
1.-1;2t;2.5;0.5;0;2;0
2.-2;0t;3.0;0.5;0;2;0
2.-2;1t;3.5;0.5;0;2;0
2.-2;2t;4.0;0.5;0;2;0
3.-3;0t;4.5;0.5;0;2;0
3.-3;1t;5.0;0.5;0;2;0
3.-3;2t;5.5;0.5;0;2;0
4.-4;2t;6.0;0.5;0;2;2
4.-4;3t;6.5;0.5;0;2;2
4.-4;1t;7.0;0.5;0;2;2
4.-4;0t;7.5;0.5;0;2;2
3.-3;2t;8.0;0.5;0;2;2
3.-3;3t;8.5;0.5;0;2;2
3.-3;1t;9.0;0.5;0;2;2
3.-3;0t;9.5;0.5;0;2;2
2.-2;0t;10.0;0.5;0;2;0
2.-2;1t;10.5;0.5;0;2;0
2.-2;2t;11.0;0.5;0;2;0
3.-3;0t;11.5;0.5;0;2;0
3.-3;1t;12.0;0.5;0;2;0
3.-3;2t;12.5;0.5;0;2;0
